home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
73,184,66,62,0
159,151,150,170,0
104,180,34,39,0
104,180,34,39,0
17,192,134,127,1
3,133,51,99,1
206,3,25,51,0
226,103,31,81,0
206,133,25,99,0
153,217,35,95,0
93,94,65,44,0
102,212,6,67,0
12,150,55,101,0
54,122,20,98,0
55,10,8,114,0
70,101,12,42,0
77,31,3,11,0
80,67,30,113,0
102,121,6,43,0
138,76,115,77,0
142,129,36,49,0
147,155,14,4,0
170,69,5,38,0
88,181,132,47,1
184,87,62,56,1
181,87,47,56,1
184,88,62,132,1
88,87,139,56,1
82,18,137,102,1
190,61,59,23,0
133,88,99,139,0
61,226,23,34,1
190,227,59,61,0
3,36,47,43,1
91,159,69,141,1
206,32,22,101,0
73,3,65,47,0
85,159,163,141,1
201,189,74,160,1
62,49,104,76,0
66,189,108,160,1
91,85,69,163,1
91,49,69,76,1
108,66,97,108,1
62,49,104,76,0
91,85,69,163,1
184,118,68,84,0
28,44,1,15,0
103,136,56,12,0
9,219,7,127,0
226,206,25,22,0
36,118,37,87,0
180,107,54,163,0
116,107,134,163,0
142,206,38,22,0
184,118,58,87,0
61,206,23,22,0
37,91,65,49,1
143,73,76,67,0
28,37,1,65,1
190,36,40,37,0
61,6,23,80,1
184,32,58,101,1
116,53,134,73,0
3,184,48,58,1
36,61,37,23,1
78,206,29,22,1
136,85,12,145,1
190,6,40,80,0
136,28,12,1,1
80,101,37,42,0
190,3,29,44,0
226,61,23,22,1
180,225,43,125,0
92,163,110,166,0
190,78,29,19,0
92,123,110,180,0
190,206,29,31,0
226,78,23,19,1
123,163,180,166,1
180,225,43,125,0
42,136,39,8,0
142,122,33,99,0
191,155,4,9,0
202,69,72,50,0
116,60,113,57,0
170,187,5,70,1
12,104,54,30,0
25,161,56,65,0
42,162,39,67,0
207,19,28,86,0
202,69,72,50,0
104,164,30,35,1
53,65,75,131,0
70,80,7,41,0
101,121,46,48,0
202,96,69,133,0
112,156,86,101,0
14,67,141,125,1
51,164,43,37,0
103,85,58,126,0
96,95,133,94,1
44,91,19,57,1
127,95,112,94,0
25,162,40,70,0
53,115,78,60,0
112,208,86,136,0
58,11,159,173,0
51,101,43,46,0
54,207,13,31,0
213,142,81,26,0
13,197,42,21,0
28,78,1,16,0
77,55,3,9,0
85,219,126,116,0
91,151,57,175,0
165,80,20,41,0
186,19,38,84,0
44,25,19,40,0
82,89,142,165,0
51,93,43,66,0
66,78,110,16,0
103,194,58,130,0
167,112,85,86,0
9,25,8,36,0
44,161,9,67,0
60,162,41,78,0
80,187,45,58,0
103,18,51,121,0
169,76,18,71,0
90,58,155,136,0
194,89,135,156,0
207,212,30,69,0
80,76,45,71,0
200,217,166,99,0
196,186,7,39,0
85,151,111,173,0
90,82,155,125,0
116,208,98,131,0
136,186,12,39,1
18,57,121,140,0
226,201,15,77,0
112,198,70,145,0
42,25,29,37,0
126,143,113,76,0
206,181,22,58,0
194,103,135,47,1
13,54,41,10,0
70,69,5,59,0
104,136,26,12,0
170,213,3,67,0
88,87,122,79,0
144,143,126,76,0
169,138,16,107,0
193,226,94,15,0
196,19,4,88,0
31,213,28,67,0
34,184,151,53,0
55,78,11,17,0
60,9,38,8,0
108,3,104,46,0
155,14,19,130,0
170,164,3,42,0
203,181,109,58,0
52,194,80,135,1
156,16,106,108,0
77,120,2,159,0
70,10,5,124,0
94,53,52,74,0
136,25,12,37,1
77,54,2,10,1
159,21,133,176,0
52,90,80,142,1
102,170,7,3,1
31,169,28,16,1
3,108,46,104,0
54,102,10,7,1
107,167,166,81,0
165,207,18,30,1
192,146,144,146,1
190,126,20,113,0
6,211,85,86,0
32,133,110,91,0
51,55,27,11,1
87,88,79,122,0
206,171,22,173,0
226,193,15,94,0
78,201,17,78,0
156,146,106,146,0
70,31,5,28,1
156,192,106,144,0
217,200,102,156,0
162,10,77,124,0
198,107,145,166,0
70,147,5,13,1
91,219,54,119,0
54,165,10,18,1
77,51,2,27,1
202,128,61,167,0
167,198,81,145,0
60,10,38,124,0
103,18,47,112,0
167,107,86,157,0
42,60,29,32,0
126,201,100,68,0
25,219,36,125,0
44,216,12,38,0
185,128,99,168,0
126,201,100,68,0
198,167,142,86,0
161,25,63,36,0
85,159,108,121,0
159,91,121,49,0
22,133,165,95,0
106,157,152,167,0
98,157,139,167,1
134,183,154,178,0
212,121,83,65,0
80,2,35,102,0
91,62,49,76,0
93,213,87,67,0
94,130,52,107,0
159,85,121,108,0
162,49,78,93,0
169,101,23,48,0
207,138,31,115,0
156,129,80,69,0
203,22,97,165,0
159,103,121,45,0
66,211,106,90,0
91,52,49,64,0
104,216,25,38,0
144,27,109,163,0
85,103,108,45,0
37,159,88,106,0
14,197,133,31,0
19,65,92,112,0
20,207,43,29,0
70,136,3,14,0
169,121,18,57,0
44,42,11,21,0
60,219,32,118,0
93,69,81,68,0
101,31,52,17,0
155,76,25,90,0
170,53,8,82,0
54,94,4,54,0
103,49,39,85,0
127,163,108,170,1
185,163,89,170,0
96,35,131,182,1
62,52,76,51,0
114,35,156,182,1
104,217,26,107,0
127,96,108,131,1
202,220,50,110,1
12,78,61,19,1
190,108,16,97,0
103,91,39,48,0
181,129,62,77,0
202,127,50,108,1
54,130,4,120,0
78,108,19,97,1
190,12,16,61,0
167,192,79,136,0
12,108,61,97,1
91,136,48,14,0
95,163,116,170,1
180,226,40,15,0
186,130,38,120,0
167,163,79,170,0
62,85,72,113,1
164,213,56,63,0
167,95,84,117,0
198,193,130,85,0
227,201,67,76,0
180,150,42,136,0
60,103,31,38,0
65,19,115,88,0
121,94,58,54,0
167,150,84,136,0
203,201,86,76,0
212,165,69,14,0
78,6,19,77,0
206,184,24,61,0
226,143,16,83,0
156,14,82,121,0
216,25,53,36,0
55,80,9,30,0
70,207,3,33,0
102,76,6,92,0
121,120,58,163,0
155,93,23,74,0
161,42,45,26,0
37,52,78,57,0
37,52,78,57,0
104,206,20,24,0
28,121,1,58,0
112,16,80,132,1
136,103,13,38,0
73,32,48,102,0
180,16,42,132,1
186,67,37,136,0
112,180,86,40,1
37,62,56,70,0
121,96,51,113,0
136,91,15,42,0
180,31,40,21,0
49,159,79,105,0
211,171,95,164,0
61,144,28,99,0
13,115,43,72,0
55,70,6,3,0
142,184,27,65,0
153,32,63,103,0
165,212,13,60,0
6,227,80,58,0
53,101,85,52,0
62,159,70,105,0
87,108,84,102,0
161,60,44,32,0
162,219,57,106,0
164,138,55,118,0
207,178,35,161,0
42,216,26,50,0
28,36,1,47,0
191,186,10,37,0
65,96,109,113,1
180,198,40,132,0
49,85,79,116,0
103,136,38,15,0
108,171,102,164,1
213,217,73,115,0
112,129,79,70,0
213,217,69,119,0
85,49,114,83,1
129,32,70,109,0
193,201,85,86,0
211,108,96,106,1
213,198,69,120,0
180,96,40,117,0
193,108,85,106,0
62,52,68,63,0
116,76,99,95,0
180,202,40,57,1
104,198,22,120,1
213,112,69,79,0
116,76,99,95,0
180,98,40,129,1
104,217,22,119,1
213,96,69,117,0
54,153,4,58,1
98,202,129,57,1
51,54,24,4,1
142,153,27,58,0
108,226,106,18,0
101,122,55,123,0
112,104,79,22,1
159,52,107,63,0
213,98,69,129,0
216,162,54,53,0
213,112,60,62,0
32,78,107,25,1
22,32,143,107,0
42,10,26,106,0
61,19,28,90,0
161,10,38,106,0
203,78,87,25,0
184,73,84,46,0
25,60,39,33,0
162,42,54,26,0
206,61,23,28,0
227,203,71,87,0
