home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
219,162,109,36,0
116,98,87,78,0
146,157,151,174,0
14,155,126,15,0
67,54,115,16,0
120,169,162,12,0
187,80,95,46,0
197,69,64,65,0
122,53,135,84,0
146,192,151,137,0
19,13,103,44,0
42,9,23,13,0
178,207,167,52,0
192,128,137,183,1
167,112,85,49,0
62,85,73,90,1
130,54,127,14,0
138,76,125,94,0
186,191,22,6,0
217,213,82,67,0
3,108,51,99,1
3,226,51,19,1
201,108,93,99,0
201,3,93,51,0
138,164,125,50,0
10,212,104,52,0
187,51,92,33,0
162,42,34,29,0
90,103,132,40,0
112,167,47,96,0
167,180,96,37,0
181,129,82,88,0
163,65,176,103,0
87,181,67,82,1
190,28,35,1,0
136,12,11,32,1
180,28,34,1,0
213,216,59,43,1
180,136,34,11,0
54,216,4,43,1
213,54,59,4,1
216,12,43,32,1
61,3,37,55,0
3,203,55,75,1
61,3,32,59,0
126,227,97,74,0
126,226,97,21,0
203,143,78,67,0
117,227,149,74,0
49,91,51,73,0
207,2,43,116,0
27,143,162,67,0
118,32,94,106,0
203,129,78,80,0
52,49,88,51,1
129,206,80,23,0
94,187,72,95,1
12,42,35,16,0
32,36,106,53,0
94,186,72,34,1
2,76,116,69,1
3,87,59,65,1
62,28,64,1,1
85,103,83,39,1
69,186,60,34,1
130,76,133,69,0
78,203,57,78,1
103,136,39,5,1
226,61,21,32,1
12,104,35,14,0
61,142,32,15,1
156,77,87,2,0
142,190,13,36,1
180,77,32,2,0
136,147,4,25,1
32,61,75,26,0
190,61,36,26,1
169,101,15,46,0
13,93,28,82,0
77,28,2,1,0
130,69,124,64,0
115,121,77,47,0
55,155,20,12,0
187,54,96,3,0
28,9,1,7,0
65,136,103,4,1
115,101,75,40,0
143,227,69,84,0
20,70,36,18,1
104,136,12,4,1
122,36,143,49,0
5,28,185,1,1
55,36,27,49,0
69,70,61,18,0
180,55,34,27,1
183,108,180,93,0
191,153,15,74,1
103,51,30,19,1
104,51,12,19,1
28,155,1,7,1
153,161,74,29,1
65,115,104,82,0
104,103,12,30,1
153,55,74,27,1
169,51,22,19,1
156,198,87,92,0
77,51,2,19,1
147,51,25,19,1
212,164,66,48,0
116,106,99,121,0
39,90,151,112,1
22,78,135,65,0
116,198,99,106,0
119,3,148,63,0
63,73,168,82,0
126,144,100,81,0
201,34,105,160,0
121,19,55,106,0
65,138,96,136,0
127,185,99,92,1
130,77,124,3,0
220,185,98,92,0
31,164,35,40,0
67,54,120,6,0
93,165,60,43,0
155,115,11,94,0
203,22,79,127,0
218,68,186,160,0
203,129,73,53,0
119,106,151,120,1
227,226,70,23,0
167,180,75,32,0
16,193,135,116,0
12,150,36,131,0
36,78,37,60,0
5,212,171,49,0
14,93,100,59,0
53,13,74,29,0
120,186,165,33,0
130,51,124,4,0
165,169,41,13,0
170,70,27,2,0
178,101,180,40,0
187,155,91,16,0
31,196,47,25,0
101,191,40,14,0
138,77,118,3,0
178,13,180,29,0
186,165,33,41,0
207,69,62,55,0
193,198,117,102,1
16,213,137,58,0
112,180,38,30,1
156,180,108,30,1
16,112,137,38,0
156,112,108,38,1
186,164,29,34,0
213,112,58,38,1
62,136,83,11,1
62,91,90,95,1
178,53,180,74,0
95,217,127,107,0
185,213,79,42,0
129,78,53,48,0
101,155,43,14,0
125,226,150,29,0
53,20,64,21,0
130,164,123,29,0
219,9,126,6,0
187,197,80,65,1
156,187,86,80,0
20,54,21,7,0
51,55,3,15,0
136,9,12,6,1
156,197,86,65,0
162,60,62,61,0
206,196,28,14,0
31,61,30,32,1
60,162,61,62,0
61,136,32,12,1
27,190,158,25,0
6,134,57,138,0
34,32,137,83,0
108,226,94,38,0
203,142,73,19,0
85,161,76,22,0
85,25,76,59,0
103,161,39,22,1
25,161,59,22,1
85,103,76,39,0
122,94,127,61,0
130,138,123,107,0
169,101,10,37,0
197,13,60,18,0
53,65,58,93,0
76,212,54,35,0
49,91,69,78,0
49,91,68,80,0
5,94,164,56,0
10,170,89,31,0
19,197,93,63,0
20,31,22,30,0
55,102,15,4,0
80,155,34,13,0
91,85,80,73,1
20,61,22,32,0
14,169,101,10,0
104,28,37,1,0
120,165,138,17,0
121,65,49,90,0
122,31,127,30,0
164,196,27,14,0
178,191,150,9,0
211,206,106,29,0
143,36,88,44,0
161,44,20,30,0
126,6,101,60,0
157,17,177,155,1
192,146,142,166,1
146,128,166,167,1
76,155,56,12,0
130,94,124,48,0
147,142,9,19,0
23,52,179,110,0
90,91,109,70,1
126,144,102,83,0
211,226,107,36,0
27,143,160,91,0
117,134,149,128,0
2,155,92,12,0
65,54,85,5,0
69,207,57,42,0
70,170,2,33,0
76,80,56,37,0
115,187,63,72,0
37,60,93,55,0
2,187,92,72,0
5,70,165,2,1
65,121,85,52,0
80,115,37,63,0
93,186,44,25,0
122,164,126,29,0
190,227,28,83,0
161,216,21,74,0
61,136,39,14,1
150,164,107,23,1
202,28,77,1,0
211,226,104,34,0
106,98,131,108,0
185,150,102,107,0
42,136,29,14,1
216,44,74,32,1
127,150,118,107,0
9,44,8,32,1
117,6,149,62,0
126,211,103,104,0
216,9,74,8,1
37,180,95,40,1
161,216,21,74,0
136,28,14,1,1
103,180,41,40,1
42,136,29,14,1
62,85,91,76,1
61,180,38,40,1
189,211,196,108,1
150,28,102,1,1
171,108,178,100,0
200,98,128,105,0
226,6,32,57,0
143,153,93,70,0
19,170,93,28,0
20,69,33,60,0
67,94,107,48,0
164,191,27,7,0
13,191,20,7,0
67,65,107,88,0
69,77,60,5,0
121,54,47,3,0
186,169,24,10,0
5,170,155,28,0
10,70,89,2,0
67,121,107,47,0
94,212,48,25,0
102,55,4,17,0
122,196,128,15,0
226,180,31,36,1
52,90,81,106,1
5,10,148,91,0
14,186,98,22,0
115,155,63,9,0
120,169,128,11,0
187,80,52,37,0
136,161,11,18,1
39,103,158,44,0
35,96,171,100,0
35,92,171,140,0
61,78,38,54,0
101,55,27,17,0
102,20,10,32,0
155,77,7,5,0
144,61,85,38,0
191,9,4,7,0
216,161,42,18,0
17,217,135,79,1
73,153,75,82,0
85,186,71,20,0
192,217,146,79,1
95,217,110,79,1
192,17,146,135,1
73,203,75,89,0
192,95,146,110,1
213,217,66,79,0
126,119,113,138,0
126,171,113,159,0
23,37,163,81,0
32,181,74,79,1
36,203,57,87,1
67,69,112,56,1
69,94,56,44,1
67,94,112,44,1
104,136,58,10,1
78,190,50,31,0
115,121,62,51,1
61,206,38,28,1
136,54,10,2,1
39,103,150,41,0
130,2,116,83,0
146,225,157,158,1
225,208,158,130,1
153,36,76,57,0
185,104,104,58,1
103,91,41,71,1
42,186,23,21,0
123,185,177,103,0
91,162,74,44,1
156,197,92,52,0
123,104,177,62,0
136,37,10,85,1
156,213,92,57,0
65,69,72,55,1
93,12,50,91,0
156,187,92,41,0
202,28,65,1,0
207,155,31,7,0
60,91,68,74,0
226,126,38,115,0
82,18,122,116,0
21,85,188,73,1
57,90,152,100,0
141,58,201,145,1
151,159,189,121,0
16,107,139,127,0
106,107,112,127,1
11,18,192,116,0
85,62,73,91,0
157,106,181,112,1
133,206,162,27,0
27,226,164,38,0
157,107,181,127,1
201,78,132,57,0
41,118,167,105,0
117,190,150,23,0
16,198,126,106,1
160,218,185,188,1
21,62,189,92,0
151,91,190,66,0
13,51,30,10,0
31,212,40,29,0
55,196,12,16,0
120,67,133,116,0
155,20,7,33,0
178,138,157,93,0
219,9,115,6,0
95,192,111,159,1
17,192,135,159,1
128,192,154,161,0
103,159,55,119,0
126,6,109,53,0
116,98,114,87,1
107,198,116,97,1
52,90,75,82,0
103,44,55,18,1
51,70,7,3,0
123,92,173,123,0
130,190,118,20,0
106,98,104,87,0
185,167,98,91,0
22,203,145,90,0
52,37,75,63,0
138,170,93,23,0
162,28,36,1,0
103,104,55,56,1
142,70,25,3,0
122,191,133,4,0
204,48,185,189,1
202,167,60,91,0
207,102,35,14,1
191,155,4,7,1
4,204,202,185,1
20,102,30,14,0
25,186,67,25,1
108,32,105,81,0
54,70,3,2,1
90,91,78,62,0
169,165,11,15,1
119,36,126,38,0
187,191,46,4,1
20,207,30,35,0
55,54,13,3,1
188,12,142,92,1
207,165,35,15,1
191,70,4,2,1
218,188,180,142,1
44,9,18,5,0
147,102,21,14,0
56,34,194,143,0
62,136,86,8,1
183,227,191,70,0
201,134,130,125,0
63,6,192,47,0
126,144,109,87,0
62,85,92,67,1
32,87,78,84,0
227,190,73,23,0
126,211,109,114,0
62,91,92,51,0
143,117,107,144,0
159,136,119,13,0
162,44,44,17,0
219,42,113,22,0
17,95,140,115,1
190,227,23,73,0
62,90,92,81,1
116,156,110,104,0
49,219,61,113,0
16,106,129,101,1
117,227,137,72,0
31,20,52,28,0
54,187,4,41,0
67,55,119,18,0
115,19,80,110,0
127,150,112,96,0
90,91,83,49,1
39,103,160,46,0
5,53,154,63,0
14,196,108,19,0
31,54,52,4,0
42,44,22,17,0
94,55,51,18,0
197,170,62,25,0
212,164,34,44,0
