home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
190,3,31,86,1
155,196,7,16,1
39,103,150,41,0
130,5,116,146,0
5,14,146,97,1
92,185,119,104,0
12,186,90,21,1
49,37,64,80,1
90,162,99,42,1
12,31,90,37,1
136,85,10,73,1
213,187,57,41,1
202,69,65,55,0
20,165,33,15,0
51,191,9,4,0
116,106,111,116,0
18,82,114,122,0
198,106,109,116,0
106,116,116,111,0
226,126,38,115,0
106,198,116,109,0
219,25,113,69,0
106,198,112,111,0
166,11,187,192,0
39,52,149,81,0
16,106,139,112,0
201,126,132,117,0
44,28,17,1,0
13,196,30,16,0
20,147,33,19,0
51,77,9,5,0
93,164,50,32,0
101,76,29,65,0
197,155,52,6,0
88,203,174,86,0
167,106,106,112,0
183,144,193,87,0
211,87,108,93,0
22,181,142,79,0
64,153,168,51,0
68,188,140,150,0
194,52,154,75,0
211,108,112,107,0
108,126,107,114,0
118,41,108,169,0
10,76,91,64,0
25,44,69,17,0
42,162,23,39,0
77,197,5,55,0
122,65,132,77,0
164,69,34,49,0
128,192,149,159,0
17,95,135,111,1
128,17,149,135,0
52,18,75,110,0
62,85,92,74,0
87,133,97,166,1
129,133,81,166,1
106,116,104,114,1
85,21,74,189,1
116,180,114,46,0
186,180,26,46,0
106,98,104,87,0
106,116,104,114,0
52,90,75,82,0
93,180,54,46,0
98,198,87,97,1
170,186,23,26,0
117,143,152,106,1
55,20,13,30,0
196,191,16,4,0
14,76,105,64,0
27,117,156,152,1
181,226,77,37,0
181,226,77,37,0
12,161,92,17,0
37,52,59,73,0
104,186,57,25,0
12,161,92,17,0
77,169,6,11,1
196,207,16,35,1
3,181,75,79,0
126,32,109,81,0
144,142,88,26,0
125,134,140,125,0
187,155,46,7,1
28,216,1,43,0
206,3,27,75,0
103,52,55,73,0
181,61,79,33,0
159,37,119,55,0
60,44,66,17,0
216,162,35,44,0
25,161,72,19,0
159,60,122,65,0
127,150,112,96,0
2,53,90,63,0
9,161,3,16,0
93,13,53,42,0
169,164,12,44,0
186,51,27,15,0
197,80,62,32,0
220,192,104,153,0
96,98,99,87,0
20,51,28,15,0
155,10,9,88,0
3,32,77,75,0
34,6,146,47,0
67,187,119,41,0
93,102,53,6,0
108,206,109,26,0
117,78,137,50,0
116,213,110,59,0
167,112,92,71,0
181,203,85,90,0
108,117,108,139,0
70,36,2,34,0
167,202,92,57,0
125,153,115,54,0
190,70,23,2,0
196,207,21,30,0
6,3,51,80,0
13,191,39,5,0
55,31,20,55,0
130,54,121,4,0
186,196,26,21,0
187,197,33,61,0
112,96,74,103,1
167,217,96,66,1
116,98,111,89,0
127,35,106,181,0
180,167,47,96,1
116,202,111,63,0
104,167,49,96,1
220,127,110,106,1
213,92,59,126,0
25,216,66,36,0
37,136,63,11,0
206,197,25,59,0
211,66,103,141,0
56,189,192,195,1
142,119,28,120,0
64,171,164,127,1
203,32,81,69,0
144,125,87,114,0
211,181,103,88,0
87,203,80,81,0
185,202,101,61,0
61,142,30,28,0
87,126,82,114,0
103,31,47,54,0
116,98,110,81,0
196,67,24,118,0
185,112,101,72,0
220,17,99,151,1
76,212,66,36,0
196,167,24,100,1
213,142,64,28,0
17,140,144,196,1
159,85,121,57,0
119,203,115,82,0
142,181,28,89,0
144,61,86,34,0
3,186,80,21,0
49,91,56,47,0
80,170,43,20,0
147,207,8,30,0
85,62,57,84,0
91,162,47,46,1
106,93,104,49,0
116,198,110,102,0
136,28,12,1,0
117,143,133,114,0
78,153,58,51,0
203,6,82,55,0
61,65,33,69,0
167,127,86,108,0
14,138,117,97,0
73,108,94,106,0
93,121,47,89,0
170,187,19,40,0
207,186,29,23,0
212,19,38,99,0
226,153,51,52,0
53,65,62,69,0
54,55,6,24,0
165,147,4,9,0
116,16,110,114,0
90,159,88,123,0
194,18,166,107,0
90,159,88,123,0
156,193,101,120,0
35,128,172,152,0
95,225,121,161,0
98,107,85,124,0
226,6,54,53,0
219,44,113,15,0
25,9,70,3,0
28,162,1,50,0
51,80,17,46,0
54,20,6,27,0
93,69,48,58,0
103,91,45,49,0
107,98,124,85,0
115,178,94,166,0
138,65,99,64,0
169,186,12,25,0
217,106,74,109,0
225,95,161,121,0
184,78,135,60,0
106,217,109,74,0
65,69,64,58,0
157,192,192,155,1
90,194,89,153,1
198,156,91,94,0
90,52,89,81,1
85,21,59,187,1
163,114,177,171,0
49,85,54,59,1
91,62,49,93,0
62,85,93,59,1
202,116,62,111,0
62,159,93,124,1
10,19,95,88,0
37,28,71,2,1
69,77,57,9,0
73,206,99,31,0
108,142,104,26,0
212,155,40,17,0
226,144,56,87,0
34,32,132,74,0
49,62,54,93,1
118,190,78,22,0
104,28,44,2,0
10,164,95,23,0
94,31,55,43,0
101,191,47,6,0
155,19,17,88,0
108,61,104,35,0
119,6,115,54,0
32,190,69,24,0
91,60,51,44,1
162,161,57,10,1
226,36,58,38,0
161,136,10,15,1
216,49,40,47,1
52,103,82,45,0
3,61,72,38,0
6,203,56,65,0
159,52,112,82,0
213,98,67,74,0
167,16,90,118,0
42,25,31,69,0
65,53,80,76,0
94,164,52,24,0
155,207,21,36,0
170,80,20,57,0
187,169,41,11,0
167,156,90,91,0
180,16,29,118,0
121,102,95,4,0
44,60,6,47,0
16,202,117,62,0
156,213,91,64,0
167,98,88,69,0
6,227,53,65,0
202,98,63,72,0
167,217,83,65,0
77,69,12,52,0
164,212,27,33,0
169,76,15,59,0
49,136,29,10,0
104,153,28,40,1
161,9,11,3,0
216,44,21,7,0
202,16,63,112,0
213,156,58,92,0
101,13,50,53,0
60,216,39,23,0
104,102,26,4,0
129,22,117,158,0
55,147,17,7,0
212,77,44,14,0
12,70,48,1,0
42,60,37,39,0
65,107,80,107,0
162,25,45,81,0
164,36,28,38,0
169,187,15,27,0
216,9,23,3,0
156,112,92,74,0
3,78,75,58,0
16,156,111,92,0
64,189,171,197,1
62,90,88,82,1
171,108,142,105,0
129,78,112,59,0
112,198,74,90,0
22,203,152,71,0
167,61,80,41,0
112,198,74,90,0
2,69,96,46,1
112,94,74,52,1
52,85,76,67,0
129,226,112,64,0
61,32,41,78,0
180,112,32,76,0
129,118,108,73,0
190,32,33,78,1
142,78,36,61,1
226,206,63,28,1
112,16,76,110,1
129,153,108,40,0
190,78,33,61,1
118,3,73,74,1
16,156,110,90,1
181,206,68,28,1
130,121,131,97,0
51,31,21,52,0
80,196,59,17,0
122,2,145,97,0
161,25,14,71,0
191,165,7,4,0
192,157,146,182,0
192,157,146,182,0
153,161,32,15,1
9,36,2,19,1
51,187,23,28,0
130,5,123,142,0
196,197,16,62,0
206,155,29,30,0
192,128,146,149,0
225,66,138,139,0
13,36,60,18,0
20,186,22,49,0
60,190,36,37,1
70,170,1,24,0
80,54,54,14,0
102,216,6,21,0
104,49,33,27,0
122,120,146,152,0
155,196,31,17,0
165,28,5,2,0
104,91,33,26,0
219,44,83,4,0
20,3,22,78,0
155,94,33,56,0
104,196,32,19,0
161,190,18,37,1
104,20,32,23,0
55,181,20,42,1
70,216,1,24,1
49,207,29,22,1
206,20,31,23,1
181,216,42,24,1
196,9,19,3,1
136,102,7,6,1
143,6,129,58,0
65,14,85,116,0
160,188,180,139,1
115,14,96,116,0
107,65,102,85,0
126,227,114,63,0
66,211,133,121,1
108,211,104,121,0
106,108,96,97,0
106,193,96,119,0
31,77,58,5,0
93,191,71,3,0
164,20,37,18,0
170,196,30,20,0
206,70,39,4,0
171,108,132,97,0
211,226,114,66,0
95,103,130,57,1
10,212,100,43,0
51,65,26,78,0
115,196,102,20,0
155,55,35,12,0
6,153,64,28,0
3,211,74,108,0
227,226,60,65,0
2,197,95,55,0
165,206,11,39,0
181,153,32,30,0
196,93,22,64,0
226,22,65,145,0
49,60,25,31,0
104,103,27,58,0
191,161,3,16,0
18,103,112,60,1
185,96,120,105,0
54,196,15,25,0
60,49,32,26,0
93,138,58,113,0
102,207,11,8,0
153,103,27,52,0
186,212,54,46,0
206,61,39,40,0
16,98,105,50,1
153,61,27,40,0
192,220,140,120,0
34,64,137,166,1
192,220,140,120,0
201,193,152,106,0
108,34,86,137,1
201,64,152,166,0
180,116,38,112,0
96,220,110,108,0
61,78,39,61,0
127,114,128,170,1
185,202,118,66,0
116,16,119,105,1
225,180,145,38,1
96,202,110,66,0
95,192,127,139,1
62,85,99,80,1
62,85,99,80,1
18,69,101,43,0
213,155,91,25,0
51,164,32,33,0
76,138,92,114,0
130,107,123,120,0
136,44,9,37,1
207,212,7,45,0
49,85,21,80,1
159,91,130,40,0
202,167,54,63,0
101,138,45,114,0
52,103,72,51,0
201,211,155,108,0
108,211,80,108,0
227,126,58,99,0
171,226,125,68,0
13,80,57,48,0
34,32,137,79,0
136,161,8,18,1
104,216,25,27,0
6,3,80,67,0
53,101,86,43,0
77,121,5,106,0
147,54,6,15,0
164,93,33,56,0
171,211,126,108,0
184,142,136,35,0
212,191,47,2,0
92,17,141,147,0
119,27,96,132,0
19,217,75,100,0
65,31,65,46,0
76,197,93,41,0
91,161,39,18,0
24,140,200,189,0
91,44,40,35,1
136,28,9,1,0
147,165,5,12,0
186,80,53,46,0
190,103,31,50,0
117,126,126,104,0
211,193,109,110,0
193,108,110,78,0
73,6,125,86,0
133,108,182,78,0
165,161,14,19,0
31,20,35,16,0
101,187,40,36,1
197,170,43,25,0
44,60,39,33,1
60,162,33,81,1
104,161,23,19,0
155,169,24,27,0
153,6,32,86,0
226,193,69,110,0
78,211,67,109,0
129,227,74,55,0
28,207,1,8,1
91,62,42,85,0
68,218,149,162,0
160,204,169,183,1
188,218,150,162,1
65,115,62,79,0
133,203,179,86,0
41,3,165,68,0
9,216,4,31,0
44,85,22,65,1
136,91,11,42,0
122,130,153,132,0
20,147,18,4,0
44,186,22,55,1
55,69,12,45,0
120,178,147,163,0
206,87,44,109,0
162,85,71,64,0
9,42,6,73,0
94,77,56,10,0
55,169,15,19,0
101,130,42,131,1
106,198,79,93,0
167,112,80,96,0
127,96,117,92,0
180,198,49,100,0
127,98,117,75,0
53,187,89,33,0
125,22,115,126,0
169,104,20,24,0
201,108,157,74,0
206,142,42,36,0
213,217,105,110,0
34,73,139,123,0
127,16,117,109,0
96,225,92,147,1
213,208,111,148,0
171,227,104,48,1
73,32,108,69,0
92,200,136,180,1
217,200,109,180,0
51,187,20,29,0
126,66,100,133,0
144,171,138,104,0
165,80,17,26,0
226,183,65,168,0
64,193,155,106,0
117,27,121,116,0
162,28,72,1,0
28,216,1,20,0
44,9,41,4,0
60,162,36,68,0
104,36,28,14,0
136,94,5,60,1
207,115,7,56,0
198,208,85,122,0
114,192,168,144,0
211,108,104,75,1
16,98,72,44,0
213,14,90,119,0
180,65,26,68,0
112,116,48,115,1
167,98,65,43,0
213,108,75,72,0
112,156,48,62,0
16,167,64,65,1
225,156,132,62,1
180,167,26,65,1
213,167,75,65,1
112,180,48,26,0
61,32,32,72,0
36,3,14,63,1
181,32,33,72,1
62,159,96,125,0
171,87,109,102,1
90,151,93,174,1
206,87,45,102,0
181,129,33,51,1
36,61,14,32,1
142,190,38,36,1
130,138,128,108,0
91,44,50,41,0
102,54,10,8,0
119,212,82,63,0
136,42,5,81,1
217,98,84,44,0
219,12,56,83,0
151,90,173,94,0
52,159,74,125,0
127,96,116,97,0
58,7,173,198,0
16,106,58,47,0
31,170,37,29,0
51,207,20,9,0
103,91,48,50,0
147,70,4,2,0
161,28,26,1,0
186,13,51,71,0
200,16,135,58,0
91,159,50,127,0
193,198,107,89,0
42,162,71,81,0
65,2,68,93,0
78,6,84,90,0
91,60,52,41,1
